year,month,day,hour,Longitude,Latitude
2022,1,17,16,-122.296186,47.717667
2022,1,17,13,-122.368551,47.528282
2022,1,2,8,-122.325824,47.633074
2022,1,5,10,-122.295251,47.715739
2022,1,22,22,-122.296777,47.568956
2022,1,29,15,-122.338655,47.609389
2022,1,1,23,-122.297454,47.577438
2022,1,9,20,-122.32375,47.599189
2022,1,17,5,-122.318796,47.657597
2022,1,6,10,-122.308845,47.616423
2022,1,18,23,-122.345006,47.61483
2022,1,19,0,-122.345006,47.61483
2022,1,25,0,-122.345006,47.618668
2022,1,12,19,-122.261927,47.67566
2022,1,21,7,-122.308759,47.645569
2022,1,31,19,-122.398318,47.668624
2022,1,10,10,-122.268364,47.519853
2022,1,25,11,-122.268364,47.519853
2022,1,2,12,-122.268364,47.519853
2022,1,2,2,-122.309479,47.582741
2022,1,25,23,-122.335775,47.609221
2022,1,27,1,-122.335775,47.609221
2022,1,27,1,-122.335775,47.609221
2022,1,5,0,-122.300334,47.583647
2022,1,28,14,-122.334206,47.568385
2022,1,7,8,-122.272469,47.661279
2022,1,2,12,-122.334969,47.549528
2022,1,13,1,-122.334969,47.549528
2022,1,5,14,-122.37689,47.667892
2022,1,7,14,-122.340686,47.614622
2022,1,19,4,-122.319301,47.677301
2022,1,2,0,-122.337043,47.608928
2022,1,19,9,-122.317227,47.59745
2022,1,12,20,-122.317227,47.59745
2022,1,12,2,-122.317227,47.59745
2022,1,7,17,-122.317227,47.597409
2022,1,14,9,-122.317227,47.597409
2022,1,12,11,-122.317227,47.597409
2022,1,5,23,-122.317227,47.5975
2022,1,14,1,-122.317227,47.5975
2022,1,4,5,-122.317227,47.5975
2022,1,26,19,-122.317227,47.5975
2022,1,19,17,-122.322944,47.676528
2022,1,11,23,-122.31223,47.690434
2022,1,2,11,-122.31223,47.690434
2022,1,18,19,-122.31223,47.690434
2022,1,4,11,-122.31223,47.690434
2022,1,23,14,-122.31223,47.690434
2022,1,27,11,-122.31223,47.690434
2022,1,5,12,-122.31223,47.690434
2022,1,16,19,-122.31223,47.690434
2022,1,31,12,-122.31223,47.690434
2022,1,22,11,-122.31223,47.690434
2022,1,20,21,-122.354108,47.623347
2022,1,21,8,-122.37545,47.694721
2022,1,17,19,-122.286611,47.576292
2022,1,3,11,-122.302236,47.600289
